name,mz,rt,formula,SMILES,mobility_[M+H]+
Clarithromycin,748.484167720091,394.15,C38H69NO13,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,1.266
DEET,192.138290616091,359.66,C12H17NO,CCN(CC)C(=O)C1=CC=CC(=C1)C,0.67;0.714;0.943
Diclofenac,296.023960404091,387.18,C14H11Cl2NO2,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,0.757
Diflufenican,395.081345144091,399.95,C19H11F5N2O2,C1=CC(=CC(=C1)OC2=C(C=CC=N2)C(=O)NC3=C(C=C(C=C3)F)F)C(F)(F)F,0.907
Diuron,233.024294752091,337.03,C9H10Cl2N2O,CN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0.711
Fenuron,165.102239456091,277.12,C9H12N2O,CN(C)C(=O)NC1=CC=CC=C1,0.615;0.642
Fipronil,436.945982880091,358.86,C12H4Cl2F6N4OS,C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F,0.881;0.933
Fluconazole,307.111341896091,288.27,C13H12F2N6O,C1=CC(=C(C=C1F)F)C(CN2C=NC=N2)(CN3C=NC=N3)O,0.798
Fluopyram,397.053686424091,367.68,C16H11ClF6N2O,C1=CC=C(C(=C1)C(=O)NCCC2=C(C=C(C=N2)C(F)(F)F)Cl)C(F)(F)F,0.853
Fluoxetine,310.141325308091,364.89,C17H18F3NO,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F,0.848;1.078
Fluroxypyr,254.973402052091,298.25,C7H5Cl2FN2O3,C(C(=O)O)OC1=NC(=C(C(=C1Cl)N)Cl)F,0.68
Fluxapyroxad,382.097329556091,366.98,C18H12F5N3O,CN1C=C(C(=N1)C(F)F)C(=O)NC2=CC=CC=C2C3=CC(=C(C(=C3)F)F)F,0.853
Gabapentin,172.133205236091,221.86,C9H17NO2,C1CCC(CC1)(CC(=O)O)CN,0.642
Imidacloprid,256.059578692091,306.84,C9H10ClN5O2,C1CN(C(=N1)N[N+](=O)[O-])CC2=CN=C(C=C2)Cl,0.74;0.954
Irbesartan,429.239735968091,382.65,C25H28N6O,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,0.972
Isoproturon,207.149189648091,342.6,C12H18N2O,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,0.712
Lamotrigine,256.015127036091,288.96,C9H7Cl2N5,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,0.731;1.031
Linuron,249.019209372091,352.82,C9H10Cl2N2O2,CN(C(=O)NC1=CC(=C(C=C1)Cl)Cl)OC,0.724
Metoprolol,268.190720112091,299.65,C15H25NO3,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,0.816
N4-Acetylsulfamethoxazole,296.069953348091,296.16,C12H13N3O4S,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)C,0.808
Naproxen,231.101570760091,367.68,C14H14O3,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,0.719
Naratriptan,336.174024492091,271.78,C17H25N3O2S,CNS(=O)(=O)CCC1=CC2=C(C=C1)NC=C2C3CCN(CC3)C,0.842
Neburon,275.071244944091,370.7,C12H16Cl2N2O,CCCCN(C)C(=O)NC1=CC(=C(C=C1)Cl)Cl,0.79
O-Desmethylvenlafaxine,264.195805492091,274.33,C16H25NO2,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,0.793;0.941
Pirimicarb,239.150252268091,355.38,C11H18N4O2,CC1=C(N=C(N=C1OC(=O)N(C)C)N(C)C)C,0.742
Propranolol,260.164505364091,349.57,C16H21NO2,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,0.775;1.043
Rotigotine,316.172961872091,376.64,C19H25NOS,CCCN(CCC1=CC=CS1)[C@H]2CCC3=C(C2)C=CC=C3O,0.828;1.26
Sertraline,306.081081356091,473.55,C17H17Cl2N,CNC1CCC(C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,0.803
Sotalol,273.126739952091,195.85,C12H20N2O3S,CC(C)NCC(C1=CC=C(C=C1)NS(=O)(=O)C)O,0.795
Sulfamethazine,279.091023140091,292.91,C12H14N4O2S,CC1=CC(=NC(=N1)NS(=O)(=O)C2=CC=C(C=C2)N)C,0.781
Sulfamethoxazole,254.059388664091,283.16,C10H11N3O3S,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,0.734
Sumatriptan,296.142724364091,232.31,C14H21N3O2S,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C,0.782
Terbuthylazine,230.116699644091,356.77,C9H16ClN5,CCNC1=NC(=NC(=N1)Cl)NC(C)(C)C,0.728;0.996
Terbutryn,242.143393060091,374.65,C10H19N5S,CCNC1=NC(=NC(=N1)SC)NC(C)(C)C,0.757
Thiabendazole,202.043344676091,302.9,C10H7N3S,C1=CC=C2C(=C1)NC(=N2)C3=CSC=N3,0.652
Thiacloprid,253.030921420091,338.66,C10H9ClN4S,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,0.754;0.979
Tramadol,264.195805492091,274.33,C16H25NO2,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O,0.793;0.941
Triisobutyl phosphate,267.171972426091,200.96,C12H27O4P,CC(C)COP(=O)(OCC(C)C)OCC(C)C,0.753;1.016
Trimethoprim,291.145166888091,263.42,C14H18N4O3,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,0.827
Tris(3-chloropropyl) phosphate,327.008105178091,373.19,C9H18Cl3O4P,C(COP(=O)(OCCCCl)OCCCCl)CCl,0.796
Venlafaxine,278.211455556091,335.46,C17H27NO2,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,0.816
